,overall_qual,1st_flr_sf,2nd_flr_sf,total_bsmt_sf,gr_liv_area,garage_area,garage_cars,year_built,year_remod/add,full_bath,lot_area
58,7,1193,0,1176,1193,506,2,1975,1975,2,11050
59,7,992,873,992,1865,839,3,2000,2000,2,10316
60,8,2006,0,1982,2006,938,3,1998,1998,2,11675
61,5,1140,0,1300,1140,400,2,1920,1950,1,12900
62,5,1176,0,1158,1176,303,1,1958,1998,1,13770
63,7,845,825,825,1670,464,2,1971,1971,1,13355
64,6,810,793,761,1603,484,2,1992,1992,2,7153
65,8,2063,0,2024,2063,815,3,1994,1995,2,10750
66,4,858,0,858,858,0,0,1971,1971,1,8125
67,6,1302,0,1302,1302,631,2,2005,2006,1,3903
68,3,774,0,544,774,0,0,1931,2006,1,4270
69,6,848,0,848,848,420,2,2004,2004,1,4426
70,4,747,0,600,747,528,2,1926,1953,1,5825
71,8,1508,1012,1508,2520,640,3,2007,2007,2,23303
72,6,1560,0,1560,1560,580,2,1960,1960,1,25485
73,7,802,670,384,1472,402,2,1991,1992,2,10784
74,5,1050,0,1043,1050,336,1,1971,1971,1,8510
75,6,1724,0,1680,1724,480,2,1967,1976,1,17871
76,5,1771,0,0,1771,336,2,1960,2006,1,21750
77,6,1207,0,1135,1207,264,1,1962,1985,1,9510
78,5,882,0,0,882,294,1,1959,1959,1,8339
79,9,1780,0,1780,1780,816,3,2004,2005,2,14828
80,7,1459,0,1459,1459,527,2,2002,2002,2,8749
81,6,727,380,629,1107,625,1,1921,1975,1,9140
82,5,687,671,687,1358,336,1,1930,2005,1,3600
83,4,760,676,676,1436,528,2,1910,2000,2,8777
84,6,616,1072,616,1688,603,2,1997,1997,2,12798
85,8,2042,0,2042,2042,1390,3,2008,2009,2,12704
86,5,876,0,876,876,484,2,1972,1972,1,7480
87,6,1320,0,1232,1320,495,2,1971,1971,2,16500
88,8,1707,0,1686,1707,511,2,1981,1981,2,16669
89,6,1064,0,864,1495,576,2,1948,1994,1,8064
90,5,999,0,999,999,264,1,1962,2001,1,7758
91,4,796,550,560,1346,384,1,1910,2000,1,11767
92,6,827,424,827,1251,240,1,1938,2000,1,6900
93,8,1228,0,1228,1228,472,2,1988,1989,2,4671
94,5,728,546,728,1274,224,1,1939,1998,2,6125
95,6,914,728,728,1642,374,1,1927,1950,1,9863
96,5,1509,0,1509,1509,322,1,1956,1956,1,9571
97,8,1554,0,1554,1554,627,2,2006,2006,2,4590
98,6,827,850,827,1677,627,2,2001,2001,2,8450
99,8,810,855,810,1665,528,2,2001,2001,2,8400
100,8,1694,0,1694,1694,642,2,1977,2008,2,14694
101,6,1790,0,998,1790,540,2,1957,1957,2,14250
102,5,923,0,876,923,264,1,1984,1985,1,6951
103,10,2470,0,2535,2470,789,3,2003,2003,1,12720
104,6,1244,0,1244,1244,336,1,1957,1957,1,11988
105,5,866,0,686,866,0,0,1945,1997,1,3880
106,6,697,804,697,1501,420,2,1993,1994,2,7685
107,6,1287,604,1224,1891,678,2,1978,1978,3,18837
108,6,1921,0,1921,1921,576,2,1964,1964,2,11136
109,4,1832,0,1832,1832,0,0,1967,1967,2,10773
110,6,1434,0,1434,1434,528,2,1974,1974,2,10200
111,8,1058,816,1058,1874,588,2,2000,2001,2,7500
112,4,1382,0,0,1382,384,1,1949,2002,2,11800
113,5,1140,0,1140,1140,0,0,2006,2006,1,17217
114,7,1494,0,1482,1494,514,2,1998,1998,2,16196
115,10,1831,1796,1930,3627,807,3,1995,1996,3,35760
116,5,1032,780,360,1812,672,2,1900,1996,2,7630
117,5,630,672,630,1302,440,2,1970,1970,2,2016
118,9,1720,0,1720,1720,846,3,2008,2008,2,10816
119,6,926,678,926,1604,470,2,1998,1998,2,9978
120,10,1966,0,1966,1966,1092,3,2007,2007,2,12291
121,8,1120,850,1085,1970,753,3,2006,2006,2,11065
122,9,1714,0,1714,1714,517,2,2005,2005,2,8147
123,6,794,676,794,1470,388,2,1997,1997,2,13869
124,4,954,795,795,2230,440,1,1912,1950,1,6204
125,9,1414,917,1414,2331,1003,3,2005,2005,2,12151
126,5,864,0,864,864,288,1,1972,1972,1,9560
127,5,1008,0,1008,1008,240,1,1953,2006,1,8923
128,5,565,651,565,1216,355,1,1920,1997,1,5520
129,9,1530,0,1530,1530,984,3,2007,2008,2,12606
130,5,1025,0,1015,1025,370,2,1976,1976,2,8660
131,6,943,695,943,1638,472,2,1998,1998,2,9042
132,5,720,720,720,1440,480,2,1968,1968,1,11227
133,6,1128,0,1080,1128,315,1,1966,2008,1,11380
134,6,757,792,744,1549,440,2,1999,1999,2,2280
135,7,1225,908,1528,2133,312,1,1941,1985,1,10452
136,7,1369,0,1369,1369,605,2,2007,2007,2,9910
137,7,1114,0,1114,1114,576,2,2004,2005,1,13072
138,6,1302,0,1302,1302,631,2,2005,2006,1,3901
139,5,816,0,816,816,264,1,1983,1983,1,11625
140,6,1381,0,1161,1381,676,2,1972,2006,1,9360
141,5,1078,0,1078,1078,240,1,1950,1996,1,9717
142,6,756,713,756,1469,216,1,1906,1995,1,10320
143,6,1474,0,1632,1474,495,2,1952,1952,1,31220
144,5,929,208,0,1137,0,0,1947,1993,1,8050
145,5,960,1000,960,1960,400,2,1952,1952,2,7596
146,6,1048,720,1048,1768,576,2,1915,1950,2,8094
147,6,689,703,689,1392,299,1,1977,1977,1,10900
148,4,432,432,592,864,216,1,1920,1950,1,9000
149,7,1740,0,1740,1740,540,2,1981,1981,1,15417
150,7,860,860,860,1720,565,2,2004,2004,2,11645
151,6,988,638,988,1626,332,1,1954,1954,1,10512
152,6,1088,110,901,1198,0,0,1920,1998,1,5586
153,5,900,0,864,900,288,1,1967,1967,1,7838
154,5,792,0,768,792,240,1,1924,2006,1,9022
155,5,1098,0,1098,1098,260,1,1955,1955,1,7390
156,4,546,546,546,1092,0,0,1970,1970,1,1900
157,6,936,0,936,936,315,1,1957,1999,1,8760
158,7,912,1215,1104,2127,833,3,1991,1991,2,13125
159,8,1055,1208,1055,2263,905,2,2001,2002,2,9240
160,6,1493,0,1478,1493,508,2,1997,1998,2,13125
161,5,768,432,768,1200,240,1,1946,1995,1,11767
162,5,1056,0,1056,1056,260,1,1954,2005,1,9250
163,10,2674,0,2630,2674,762,3,2007,2007,2,13693
164,9,1456,0,1451,1456,539,2,2008,2008,2,6472
165,8,1563,0,1563,1563,758,3,2007,2007,2,10206
166,6,1114,0,1114,1114,576,2,2003,2004,1,13695
167,7,1145,0,1145,1145,437,2,2006,2006,2,3203
168,7,960,1358,960,2318,541,2,2005,2006,2,9512
169,7,1445,0,1445,1445,470,2,2004,2004,2,9750
170,10,2411,2065,2396,4476,813,3,1996,1996,3,15623
171,5,990,0,990,990,480,2,1994,1995,1,8072
172,5,1560,0,1776,1560,528,2,1962,1962,2,11679
173,7,520,623,600,1223,480,2,2005,2005,2,2544
174,7,1086,809,712,1895,409,2,1994,1996,2,10832
175,6,1085,649,912,1734,440,2,1962,1981,1,9786
176,5,691,0,691,691,216,1,1920,1950,1,5400
177,5,1949,0,1949,1949,586,2,1977,1977,2,8235
178,4,546,546,546,1092,286,1,1970,1970,1,1894
179,5,1242,0,1242,1242,324,1,1960,1960,1,7903
180,5,894,772,894,1666,0,0,1931,1950,1,9839
181,7,1098,880,832,1978,486,2,1968,1968,2,9900
182,7,1516,651,1192,2167,518,2,1974,2003,2,17542
183,7,738,754,738,1492,440,2,2006,2006,2,9073
184,6,1350,0,1064,1350,478,2,1974,1974,2,10140
185,6,698,560,560,1258,280,1,1939,1950,1,9060
186,7,806,683,782,1489,400,2,2003,2003,2,8965
187,7,1160,908,1108,2068,315,1,1922,2005,1,7793
188,5,980,0,980,980,400,2,1962,1962,1,9750
189,3,944,0,0,944,528,2,1952,1952,1,10206
190,7,832,832,832,1664,528,2,1976,1976,2,10140
191,5,945,0,945,945,253,1,1973,1973,1,2394
192,6,838,0,816,838,275,1,1918,2000,1,10267
193,5,864,0,864,864,276,1,1963,1963,1,6360
194,6,783,701,783,1484,393,2,2005,2007,2,10237
195,6,912,0,888,912,470,2,1978,1978,1,7540
196,8,955,919,955,1874,880,3,2007,2008,2,9428
197,5,992,473,992,1465,240,1,1939,1950,2,10164
198,5,1021,580,533,1601,300,1,1958,1987,1,13825
199,5,1145,0,301,1145,684,2,1956,1956,1,7700
200,8,1645,830,1629,2475,962,3,1998,1998,2,17433
201,7,1226,878,1226,2104,432,2,1910,2005,2,6300
202,6,934,0,912,934,336,1,1964,1964,1,10366
203,6,832,878,832,1710,506,2,1993,1993,2,9291
204,6,741,686,483,1427,379,1,1915,2002,1,5775
205,4,1040,0,0,1040,420,2,1950,1950,1,7200
206,6,855,601,855,1456,460,2,1976,1976,2,2179
207,6,621,648,621,1269,280,1,1962,2001,1,9360
208,8,1370,0,1370,1370,484,2,2006,2006,2,6442
209,6,894,1039,894,1933,668,3,2007,2007,2,14598
210,6,947,767,923,1714,451,2,1999,2000,2,8637
211,6,943,933,901,1876,540,2,1974,1974,2,9120
212,4,949,343,949,1292,205,1,1923,2008,1,5142
213,7,2036,0,2136,2036,513,2,1965,1965,2,215245
214,9,1557,0,1557,1557,484,2,1999,2000,2,4109
215,7,844,893,836,1737,506,2,1992,1992,2,8285
216,7,1830,0,1865,1830,521,2,1967,1967,1,20355
217,7,707,682,651,1389,240,1,1946,1992,1,3378
218,4,892,0,858,892,0,0,1923,1950,1,5160
219,5,1040,0,1040,1040,286,1,1959,2003,1,7500
220,7,713,739,691,1452,506,2,1999,1999,2,3735
221,6,1056,0,1056,1056,576,2,1980,1980,0,6979
222,6,983,813,780,1796,483,2,1963,1963,1,7056
223,6,684,876,684,1560,400,2,2005,2005,2,11911
224,6,856,0,856,856,399,2,1939,1950,1,7890
225,5,846,0,720,846,576,2,1920,1950,1,10800
226,8,1149,1141,1128,2290,779,2,2002,2002,2,11250
227,7,982,995,982,1977,574,3,2006,2006,2,9605
228,5,1273,0,1273,1273,307,1,1960,1960,1,14680
229,7,1277,1067,1264,2344,889,3,1996,1997,2,10208
230,5,1518,0,1580,1518,0,0,1940,2007,1,19550
231,4,630,0,630,630,0,0,1972,1972,1,1491
232,4,1157,687,709,1844,240,1,1900,1954,1,4800
233,4,768,0,768,768,355,1,1955,1955,1,8172
234,8,1360,1360,1360,3112,795,2,1918,1990,2,25419
235,6,691,807,691,1498,409,2,1995,1996,2,13031
236,5,844,0,844,844,216,1,1925,1950,1,5633
237,9,1794,978,1776,2772,754,3,2007,2007,3,14257
238,8,2097,0,2077,2097,1134,3,2005,2006,1,20896
239,7,1352,0,1352,1352,466,2,2006,2007,2,4230
240,8,1079,840,1079,1919,685,2,2006,2006,2,15611
241,6,1284,0,1284,1284,480,2,1984,1984,2,10960
242,8,1234,1140,1181,2374,656,3,2003,2004,2,11999
243,7,1164,1150,1150,2314,502,2,2003,2005,2,11060
244,9,2018,0,2002,2018,746,3,2008,2009,2,13214
245,8,1651,0,1643,1651,870,3,2007,2007,2,10235
246,6,882,0,882,882,502,1,1956,1956,1,13008
247,4,894,0,894,894,396,2,1960,1960,1,7436
248,6,1007,793,982,1800,463,2,2000,2000,2,8123
249,9,1869,0,1869,1869,617,2,2007,2007,2,7820
250,8,1625,0,1573,1625,495,2,2006,2007,2,5568
251,6,1192,403,940,1595,240,1,1940,2000,1,8400
252,8,1142,878,1128,2020,466,2,1995,1995,2,9828
253,7,912,1182,912,2094,615,2,2003,2004,2,9375
254,6,1412,0,1392,1412,576,2,1988,1988,2,11457
255,3,728,434,728,1162,258,1,1930,1950,1,6120
256,4,792,348,576,1140,0,0,1910,2004,1,8800
257,9,1848,880,1848,2728,706,3,2005,2006,2,20431
258,7,1079,800,1079,1879,473,2,1993,1994,2,10560
259,6,2279,0,585,2279,461,2,1958,1995,2,19958
260,7,744,630,384,1374,400,2,2004,2004,2,11084
261,6,768,768,768,1536,308,1,1952,1952,1,10266
262,6,672,546,672,1218,264,1,1973,1973,1,1890
263,6,1094,0,1094,1094,495,2,1953,1953,1,10452
264,7,887,1134,868,2021,422,2,2006,2006,2,23257
265,6,993,813,780,1806,483,2,1964,1964,1,7570
266,5,1314,0,1314,1314,294,1,1957,1957,1,8400
267,7,1006,769,740,1775,425,2,1993,1993,2,9317
268,6,1350,0,1248,1350,520,2,1964,1964,1,9020
269,6,1072,0,547,1072,525,2,2005,2006,1,3675
270,6,1260,1031,1214,2291,506,2,1910,1998,2,7200
271,7,778,798,770,1576,614,2,2006,2006,2,8125
272,7,998,764,596,1762,576,2,1920,1950,1,7200
273,8,1968,1479,728,3447,1014,3,1935,1997,3,14100
274,4,864,0,864,864,576,2,1970,1970,1,7038
275,5,1176,0,1176,1176,360,1,1969,1969,1,16133
276,6,848,0,848,848,420,2,2003,2003,1,4435
277,5,1432,0,1360,1432,588,2,1978,1978,1,16157
278,5,1048,0,0,1048,420,2,1950,1950,1,7200
279,5,1128,0,936,1128,286,1,1954,1954,1,9000
280,8,901,900,893,1801,800,3,2005,2005,2,10463
281,6,810,672,672,1482,400,1,1925,1950,2,12155
282,5,974,0,974,974,0,0,1991,1992,1,10712
283,5,709,308,346,1017,308,1,1900,2003,1,9143
284,6,869,349,735,1218,440,2,1941,1950,1,6000
285,7,979,871,973,1850,467,2,1994,1994,2,29959
286,6,1170,1175,952,2345,360,2,1932,1950,2,16560
287,6,483,504,483,987,264,1,1973,1973,1,1953
288,6,784,0,784,784,360,2,1928,1950,1,9000
289,5,1144,0,1144,1144,596,1,1956,1956,1,9571
290,5,888,0,920,888,240,1,1961,1961,1,8700
291,6,1286,368,0,1654,528,2,1977,1977,2,8927
292,4,546,546,546,1092,286,1,1976,1976,1,1890
293,5,925,0,0,925,300,1,1961,1961,1,7000
294,5,1437,0,1188,1437,576,2,1956,1987,1,14175
295,6,848,0,848,848,420,2,2004,2004,1,4426
296,7,784,812,784,1596,610,2,2005,2005,2,9316
297,7,1094,967,1070,2061,647,2,1995,1996,2,9085
298,8,1440,0,1432,1440,467,2,2003,2003,2,11202
299,6,819,784,784,1603,599,2,1923,1950,1,9650
300,6,979,979,979,1958,492,2,1946,1950,2,7136
301,9,1884,0,1884,1884,649,2,2008,2009,2,7390
302,5,980,0,980,980,484,2,1977,1977,1,7064
303,5,1226,676,1100,1902,576,2,1923,1950,2,6120
304,5,672,0,672,672,256,1,1940,1950,1,4800
305,5,1006,0,1006,1006,0,0,1959,1959,1,9000
306,5,1619,167,1499,1786,529,2,1965,1965,2,164660
307,7,1294,0,1286,1294,662,2,2006,2006,2,6762
308,5,1152,0,1152,1152,252,1,1978,1978,2,10547
309,5,1024,0,1024,1024,308,1,1965,1965,1,13052
310,5,1278,1037,1168,2315,342,1,1950,1963,2,15600
311,8,1338,0,1338,1338,582,2,2001,2001,2,4920
312,7,1578,0,1578,1578,642,3,2006,2006,2,13253
313,8,1052,1321,1052,2373,632,3,2004,2005,2,11631
314,4,862,1788,0,2650,0,0,1967,1967,3,7200
315,9,1856,0,1856,1856,834,3,2010,2010,1,11394
316,9,1940,0,1930,1940,606,3,2009,2010,2,10159
317,8,1682,0,1664,1682,528,2,1997,1997,1,6264
318,7,1005,1286,975,2291,429,2,1999,1999,2,8738
319,5,979,224,709,1203,352,1,1950,1950,1,7015
320,4,672,240,0,912,0,0,1947,1950,1,6240
321,5,961,406,861,1367,384,1,1900,1950,1,8405
322,5,1026,665,1026,1691,308,1,1924,1950,2,5000
323,8,1544,0,1544,1544,868,3,2009,2010,2,12883
324,5,894,0,894,894,600,2,1972,1972,1,7200
325,6,958,0,958,958,440,2,1976,1976,2,4928
326,5,1306,0,992,1306,756,1,1957,2000,1,8712
327,7,1142,0,1142,1142,440,2,2005,2006,2,3010
328,7,976,976,976,1952,299,1,1950,2005,1,9780
329,5,1024,704,704,1728,234,1,1949,1973,1,9462
330,5,1866,0,1866,1866,495,2,1958,1958,2,9482
331,6,851,858,836,1709,416,2,1991,1991,2,14067
332,5,928,992,928,1920,400,2,1948,1950,2,11345
333,8,1235,0,1235,1235,484,2,1980,1980,1,3760
334,5,759,0,451,759,576,2,1912,1991,1,10320
335,7,901,901,793,1802,216,1,1920,1950,1,7588
336,5,792,0,624,792,287,1,1923,1950,1,8520
337,4,1000,544,925,1544,0,0,1890,2006,2,14190
338,6,1082,0,1082,1082,240,1,1948,1950,1,11664
339,8,788,0,728,788,484,2,1980,1980,1,4420
340,5,1676,0,1160,1676,672,2,1977,1994,1,33983
341,5,801,646,801,1447,0,0,1910,1950,1,10134
342,5,1036,0,832,1268,288,1,1949,1950,1,12144
343,6,804,878,804,1682,523,2,1998,1998,2,8750
344,8,1402,823,1390,2225,713,3,1992,1993,2,11134
345,8,975,873,975,1848,592,2,2000,2000,2,7379
346,6,821,955,821,1776,443,2,1996,1996,2,9783
347,5,892,0,864,892,264,1,1966,1966,1,9477
348,7,788,702,788,1490,388,2,2004,2005,2,15384
349,5,1064,0,1064,1064,528,2,1967,1967,1,11327
350,7,978,886,1020,1864,0,0,1902,2000,2,5852
351,6,684,714,684,1398,440,2,1976,2001,1,7200
352,6,672,546,672,1218,264,1,1972,1972,1,1680
353,8,1660,0,1660,1660,500,2,2006,2006,2,10182
354,4,1350,0,967,1350,504,2,1954,1954,1,9375
355,7,1898,1080,710,2978,564,2,1967,2007,2,11275
356,6,780,741,741,1521,640,3,1910,2002,1,9720
357,7,1431,0,1431,1431,666,2,1999,1999,2,9017
358,8,1040,1012,1107,2052,642,3,2000,2001,2,10125
359,5,997,520,793,1517,0,0,1919,2005,2,8500
360,6,958,620,806,1578,240,1,1941,1950,1,9490
361,4,1608,0,1396,1608,444,1,1961,1961,1,27697
362,5,725,499,689,1224,180,1,1917,1950,1,10632
363,5,1776,0,1584,1776,888,3,1958,1958,2,11475
364,8,1234,0,1234,1234,484,2,2007,2007,2,11049
365,8,1625,0,1573,1625,538,2,2006,2007,2,4750
366,5,1572,0,1572,1572,995,3,1963,1963,1,35133
367,5,1647,0,1430,1647,621,2,1977,1977,2,12984
368,7,1072,942,912,2014,486,2,2003,2003,2,9157
369,3,1163,0,1162,1163,220,1,1955,2005,1,5820
370,6,1248,1296,1248,2544,907,3,1969,1969,2,9671
371,6,483,504,483,987,352,1,1972,1972,1,1890
372,6,1060,764,764,1824,520,2,1919,1950,1,13515
373,9,1540,1315,1540,2855,774,3,2000,2000,2,9233
374,6,913,0,814,913,240,1,1966,1966,1,8400
375,8,1776,0,1732,1776,712,3,2006,2007,2,15306
376,7,912,514,912,1426,216,1,1918,1998,1,7642
377,8,1646,0,1594,1646,482,2,2004,2005,2,3842
378,7,1314,0,1314,1314,626,2,2007,2008,2,5063
379,5,1049,0,1049,1049,266,1,1984,1984,2,4235
380,6,840,840,840,1680,308,1,1915,1976,2,15576
381,7,964,925,925,1889,308,1,1910,1950,1,10120
382,9,1808,0,1774,1808,850,3,2008,2008,2,13514
383,8,1148,1402,1108,2550,670,3,2006,2007,2,13440
384,7,933,975,915,1908,493,2,1994,1995,2,8750
385,6,1643,0,1182,1643,438,2,1966,1966,2,11500
386,5,1766,648,954,2414,520,2,1900,1970,2,10800
387,8,798,714,798,1512,180,1,1925,1997,2,7609
388,5,1188,0,1188,1188,312,1,1962,1962,1,26142
389,5,948,375,780,1323,400,2,1948,2005,1,9184
390,5,525,567,525,1092,320,1,1971,1971,1,1680
391,7,1726,0,1726,1726,786,3,2007,2007,2,9416
392,6,888,676,650,1564,476,2,1980,1981,2,8400
393,4,910,611,910,1521,597,1,1950,1950,1,12144
394,7,1226,0,1226,1226,740,3,2009,2009,2,10402
395,4,816,0,624,816,0,0,1910,1950,1,3300
396,6,1330,0,1330,1330,437,2,2006,2007,2,8334
397,6,802,709,802,1511,413,2,1997,1997,2,11207
398,5,858,0,858,858,576,2,1982,1982,1,7252
399,3,894,0,894,894,1248,3,1935,1950,1,18000
400,8,1080,672,559,1752,492,2,1988,2005,2,12134
401,7,1782,0,1782,1782,551,2,1979,1979,2,14450
402,5,820,523,731,1343,186,1,1921,1950,1,7681
403,8,1717,0,1709,1717,908,3,2006,2006,2,11146
404,5,1507,0,1075,1507,404,1,1960,1960,2,7910
405,5,1027,0,1027,1027,299,1,1962,1962,1,8000
406,5,936,744,856,1680,450,2,1910,1950,2,6048
407,7,941,888,941,1829,613,2,2003,2003,2,9548
408,8,1058,846,1058,1904,736,2,2005,2005,2,10927
409,5,952,0,952,952,840,2,1951,1951,1,7350
410,4,1131,0,907,1131,672,2,1937,2000,1,5925
411,5,1024,564,768,1588,480,2,1955,1967,1,7200
412,7,1539,1134,1043,2673,441,2,1980,1991,2,12388
413,5,1764,0,0,1764,301,1,1957,1982,2,8838
414,8,1220,870,1220,2090,556,2,1995,1996,2,10000
415,8,1276,1336,1225,2612,676,3,1998,1999,2,12203
416,5,720,551,720,1271,312,1,1948,1950,2,21286
417,7,1298,1216,1216,2514,693,2,1990,1991,2,11170
418,4,864,0,864,864,576,2,1971,1971,1,10500
419,5,1803,0,1134,1803,484,2,1957,2000,2,13125
420,6,2422,0,1288,2422,527,2,1954,1994,3,12671
421,5,1056,0,1056,1056,300,1,1955,1955,1,13600
422,5,1308,1778,666,3086,1200,3,1935,2007,3,21281
423,6,736,554,554,1290,200,1,1900,2000,1,5870
424,7,1541,0,1541,1541,843,3,2001,2002,2,13704
425,10,2020,0,2006,2020,900,3,2009,2009,2,12220
426,8,1226,0,1226,1226,484,2,1981,1981,1,3782
427,7,856,854,856,1710,548,2,2003,2003,2,8450
428,7,918,0,852,918,360,1,1975,1975,1,8750
429,9,1668,0,1626,1668,702,3,2002,2002,2,11248
430,4,1126,0,0,1126,520,2,1949,2003,2,8777
431,6,1062,0,1062,1062,297,1,1954,1954,1,8128
432,5,893,0,845,893,576,2,1949,2003,1,9600
433,7,846,748,846,1594,434,2,2004,2004,2,10125
434,4,1055,218,616,1273,275,1,1910,1993,1,11388
435,8,1158,1218,1158,2376,853,3,2005,2006,3,14215
436,7,1368,0,1368,1368,474,2,2005,2006,2,6792
437,6,708,708,708,1416,776,2,1968,1968,2,11700
438,7,530,550,530,1080,496,2,2003,2003,2,4447
439,6,1392,0,1392,1392,576,2,1968,1968,1,13560
440,7,1014,730,996,1744,457,2,1993,2003,2,9453
441,5,1214,0,1214,1214,318,1,1967,1967,2,10355
442,6,760,330,720,1090,240,1,1940,2006,1,6000
443,6,1208,0,1208,1208,546,2,1977,1977,1,11250
444,6,1102,0,988,1102,582,2,1980,1980,1,10464
445,5,1473,0,1437,1473,452,1,1968,2003,1,25095
446,2,723,363,723,1086,400,2,1920,1950,1,11340
447,4,765,0,765,765,200,1,1925,1950,1,5000
448,7,1383,1015,1379,2398,834,3,1996,1997,2,11787
449,5,864,0,864,864,576,2,1972,2000,1,7200
450,7,902,918,864,1820,492,2,1965,1988,1,13700
451,8,1702,0,1702,1702,844,3,2007,2007,2,10130
452,7,1358,0,1358,1358,484,2,2009,2010,2,6371
453,7,1022,752,952,1774,468,2,1931,1950,2,6120
454,7,756,797,756,1553,615,2,2005,2006,2,8125
455,8,972,839,972,1811,565,2,2002,2002,2,8470
456,7,1417,0,1417,1417,511,2,1997,1998,2,8750
457,5,1008,0,1008,1008,308,1,1956,1956,1,6860
458,8,927,988,908,1915,506,2,1992,1992,2,10041
459,5,960,0,960,960,392,1,1959,2000,1,6400
460,6,561,668,561,1229,462,2,1980,1992,1,1488
461,5,1056,0,1056,1056,308,1,1958,1992,1,8176
462,6,660,688,660,1348,453,2,1966,1966,1,7590
463,10,2444,1872,2444,4316,832,3,1994,1995,3,21535
464,4,1196,0,1196,1196,440,2,1916,1990,1,4800
465,7,847,1112,847,1959,434,2,2004,2005,2,11796
466,7,944,815,1449,1759,525,2,1992,1993,2,16698
467,7,1290,871,1257,2161,570,2,2001,2001,2,10400
468,6,752,0,744,752,264,1,1984,1984,1,7175
469,5,816,0,816,816,264,1,1982,1982,1,8314
470,5,884,0,840,884,504,2,1983,1983,1,9180
471,7,1614,0,1614,1614,865,3,2005,2006,2,11210
472,6,707,809,707,1516,409,2,1994,1995,2,8803
473,5,897,0,876,897,264,1,1968,1968,1,8665
474,7,1122,1121,700,2243,746,3,1990,1991,2,13474
475,8,1568,0,1568,1568,564,2,2001,2002,2,7180
476,5,1064,0,864,1064,318,1,1952,1952,1,10950
477,5,780,840,780,1620,462,2,1969,1969,2,10793
